navigation;modèle-imprimante;;imprimante;;Label;;;;ref-constructeur;prix;capacité;ID_printer;ID_product
Canon;Canon  SX;;SX 10;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;2098;4684
Sanyo;Sanyo  CX;;CX 2153 P;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;12803;4684
Canon;Canon  imageCLASS;;ImageClass LBP-6780 dn;;COMPATIBLE Canon 3482B002 / 724H - Toner noir;;;;724H;null;3482 B 002;2099;4830
Canon;Canon  BJ;;BJ 200 E;;COMPATIBLE Canon 0881A002 / BC-02 - Tête d'impression noire;;;;BC-02;null;0881 A 002;2100;4706
Brother;Brother  MFC;;MFC-7150 C;;null;;;;null;null;null;186;#N/A
Xerox;Xerox  WC;;WC 5955;;ORIGINAL Xerox 006R01605 - Toner noir;;;;006 R 01605;null;50000;15850;5840
Pitney Bowes;Pitney Bowes  DA;;DA 900;;COMPATIBLE HP 51645AE / 45 - Tête d'impression noire;;;;45;null;51645 AE;9748;4712
Sharp;Sharp  CS;;CS 2635 C;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13125;4684
Canon;Canon  PC;;PC 790;;COMPATIBLE Canon 1491A003 / E30 - Toner noir;;;;E30;null;1491 A 003;2101;4829
Brother;Brother  HL-L;;HL-L 8260 CDW;;COMPATIBLE Brother TN423BK - Toner noir;;;;TN-423 BK;null;6500;187;4725
Xerox;Xerox  WC;;WC 5225 V FNX;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;15851;5841
Canon;Canon  Lasershot;;Lasershot LBP-7680 cx;;COMPATIBLE Canon 2662B002 / 718BK - Toner noir;;;;718BK;null;2662 B 002;2102;4831
Sharp;Sharp  AR;;AR-281;;ORIGINAL Sharp AR336LD - Développeur;;;;AR-336 LD;null;80000;13126;5564
C.Itoh;C.Itoh  CI;;CI 800;;ORIGINAL IBM 1040998 - Ruban nylon noir;;;;1040998;null;Oui;2017;4682
Ricoh;Ricoh  Aficio MP C;;Aficio MP C 3003 zsp;;ORIGINAL Ricoh D1862209 - Photoconducteur;;;;D1862209;null;400000;10150;5316
Canon;Canon  FC;;FC 204;;COMPATIBLE Canon 1491A003 / E30 - Toner noir;;;;E30;null;1491 A 003;2103;4829
Xerox;Xerox  VersaLink;;VersaLink B 7030 VS;;ORIGINAL Xerox 106R03393 - Toner noir;;;;106 R 03393;null;15000;15852;5842
Xerox;Xerox  WorkCentre;;WorkCentre 7855 Series;;ORIGINAL Xerox 006R01513 - Toner noir;;;;006 R 01513;null;26000;15853;5826
Sharp;Sharp  Compet;;Compet 624;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13127;4684
Ricoh;Ricoh  Aficio SP;;Aficio SP 300 dn;;COMPATIBLE Ricoh 406956 - Toner noir;;;;406956;null;1500;10151;5317
Canon;Canon  BJC;;BJC 600;;ORIGINAL Canon 0946A001 / BJI-201 BKHC - Cartouche d'encre noire;;;;BJI-201 BKHC;null;0946 A 001;2104;4704
Sharp;Sharp  AL;;AL-1521;;ORIGINAL Sharp AL100TD - Toner noir;;;;AL-100 TD;null;6000;13128;5557
Xerox;Xerox  ColorQube;;ColorQube 8580;;ORIGINAL Xerox 108R00934 - Encre solide en Color-Stix;;;;108 R 00934;null;4300;15854;5843
Casio;Casio  HR;;HR 200;;ORIGINAL Olivetti 81129 - Rouleau couleur;;;;81129;null;Oui;6191;4873
Canon;Canon  IR;;IR-ADV C 9075 S Pro;;ORIGINAL Canon 2781B003 / C-EXV 30 - Kit tambour;;;;C-EXV 30;null;2781 B 003;2105;4832
Canon;Canon  IR;;IR 1610 Series;;ORIGINAL Canon 6836A002 / C-EXV 5 - Toner noir;;;;C-EXV 5;null;6836 A 002;2106;4833
Xerox;Xerox  WorkCentre;;WorkCentre 7232 SP;;ORIGINAL Xerox 013R00636 - Kit tambour;;;;013 R 00636;null;80000;15855;5844
Ricoh;Ricoh  Sp;;SP 325 SNw;;COMPATIBLE Ricoh 407246 / TYPE SP 311 HE - Toner noir;;;;TYPE SP 311 HE;null;407246;10152;5315
Samsung;Samsung  ML;;ML-1640;;COMPATIBLE Samsung MLTD1082SELS / 1082S - Toner noir;;;;1082S;null;MLT-D 1082 S/ELS;11831;5472
Sharp;Sharp  EL;;EL 1153;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13129;4684
Canon;Canon  IR-C;;IR-C 9280;;ORIGINAL Canon 6941B002 / C-EXV 44 - Toner noir;;;;C-EXV 44;null;6941 B 002;2107;4834
British Telecom;British Telecom  BF;;BF 550 C;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;166;4691
Ricoh;Ricoh  MV;;MV 74;;COMPATIBLE Canon 0896A002 / BX-20 - Tête d'impression noire;;;;BX-20;null;0896 A 002;10153;4697
Canon;Canon  imageCLASS MF;;ImageClass MF 6180 dw;;COMPATIBLE Canon 3479B002 / 719 - Toner noir;;;;719;null;3479 B 002;2108;4810
Canon;Canon  MP;;MP 41 DH;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;2109;4684
Olivetti;Olivetti  Copia;;Copia 9910;;ORIGINAL Olivetti B0266 - Kit tambour;;;;B0266;null;18000;7695;5158
Olympia;Olympia  CPD;;CPD 6401;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;8466;4684
Ricoh;Ricoh  Pro;;Pro C 7100 sx;;ORIGINAL Ricoh 828330 - Toner noir;;;;828330;null;45000;10154;5318
Xerox;Xerox  WC;;WC 7245 FPLX;;ORIGINAL Xerox 006R01175 - Toner noir;;;;006 R 01175;null;26000;15856;5839
Printronix;Printronix  P;;P 300;;null;;;;null;null;null;6674;#N/A
Sanyo;Sanyo  PR;;PR 3000;;null;;;;null;null;null;12804;#N/A
Sharp;Sharp  CS;;CS 2152;;null;;;;null;null;null;13130;#N/A
Citizen;Citizen  CBM;;CBM 710;;ORIGINAL Citizen 3000098 / IR 61 B - Ruban nylon noir;;;;IR 61 B;null;3000098;6423;5017
Ricoh;Ricoh  IM;;IM C 5500 Series;;ORIGINAL Ricoh 842283 - Toner noir;;;;842283;null;33000;10155;5319
Omron;Omron  RS;;RS 58;;ORIGINAL Epson C43S015356 / ERC-18-B - Ruban nylon noir;;;;ERC-18-B;null;C 43 S0 15356;8880;5012
CPF;CPF  NP;;NP 4050;;null;;;;null;null;null;3659;#N/A
Bull;Bull  Italia;;Italia 4/66 C;;null;;;;null;null;null;1875;#N/A
Canon;Canon  IR;;IR 2018;;COMPATIBLE Canon 0384B002 / C-EXV 14 - Toner noir;;;;C-EXV 14;null;0384 B 002;2110;4835
Olympia;Olympia  Carrera;;Carrera SS;;null;;;;null;null;null;8467;#N/A
Toshiba;Toshiba  E-Studio;;E-Studio 20 S;;ORIGINAL Toshiba 66061618 / T-2500 E - Toner noir;;;;T-2500 E;null;66061618;14669;5650
Canon;Canon  imageRUNNER;;imageRUNNER 200 e;;ORIGINAL Canon 1388A002 - Toner noir;;;;1388 A 002;null;9600;2111;4807
Xerox;Xerox  WC;;WC 5222 Series;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;15857;5841
Canon;Canon  LBP;;imageCLASS LBP312dn;;COMPATIBLE Canon 0453C002 / 041H - Toner noir;;;;041H;null;0453 C 002;2112;4816
OKI;OKI  MC;;MC 760 dn;;COMPATIBLE OKI 45396304 - Toner noir;;;;45396304;null;8000;6791;5067
Canon;Canon  IR;;IR Advance 6275;;ORIGINAL Canon 3766B002 / C-EXV 36 - Toner noir;;;;C-EXV 36;null;3766 B 002;2113;4817
Sharp;Sharp  FO;;FO-720;;ORIGINAL Sharp UX3CR - Film transfert thermique;;;;UX-3 CR;null;190;13131;5565
Canon;Canon  BIJ;;BIJ 2300;;ORIGINAL Canon 7337A001 / BCI-1201 BK - Cartouche d'encre noire;;;;BCI-1201 BK;null;7337 A 001;2114;4836
Canon;Canon  BJC;;BJC 85;;COMPATIBLE Canon 0956A002 / BCI-10 BK - Cartouche d'encre noire;;;;BCI-10 BK;null;0956 A 002;2115;4710
Canon;Canon  Pixma;;Pixma G 1500;;ORIGINAL Canon 1603C001 / GI-590 BK - Cartouche d'encre noire;;;;GI-590 BK;null;1603 C 001;2116;4837
Brother;Brother  HL;;HL-3142 CW;;COMPATIBLE Brother TN242BK - Toner noir;;;;TN-242 BK;null;2500;188;4726
Rex Rotary;Rex Rotary  P;;P 7026 N;;null;;;;null;null;null;9980;#N/A
Brother;Brother  HL;;HL-720 Series;;ORIGINAL Brother TN200 - Toner noir;;;;TN-200;null;2200;189;4727
Xerox;Xerox  WC;;WC 7300 Series;;ORIGINAL Xerox 006R01175 - Toner noir;;;;006 R 01175;null;26000;15858;5839
Brother;Brother  HL;;HL-1060;;null;;;;null;null;null;190;#N/A
Unisys;Unisys  UDS;;UDS 12;;COMPATIBLE Lexmark 4K00199 - Toner noir;;;;4K00199;null;10000;15317;5785
Star Micronics;Star Micronics  DP;;DP 8340 FC;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;14291;4684
Brother;Brother  HL;;HL-3450 CN;;ORIGINAL Brother OP2CL - Kit tambour;;;;OP-2 CL;null;30000;191;4728
Xerox;Xerox  WC;;WC 7428 F;;ORIGINAL Xerox 006R01395 - Toner noir;;;;006 R 01395;null;25000;15859;5845
Privileg;Privileg  Electronic;;Electronic 2600;;null;;;;null;null;null;9947;#N/A
Canon;Canon  C;;C 330 d;;ORIGINAL Canon 1377A003 / NPG-7 - Toner noir;;;;NPG-7;null;1377 A 003;2117;4838
Canon;Canon  IR;;IR-C 6880;;ORIGINAL Canon 2447B002 / C-EXV 24 - Toner noir;;;;C-EXV 24;null;2447 B 002;2118;4839
Utax;Utax  P;;P 600/7;;COMPATIBLE OKI 09002311 - Ruban nylon noir;;;;9002311;null;Non;15426;5112
Brother;Brother  CX;;CX 440;;COMPATIBLE Brother 7020 - Encreur correcteur;;;;7020;null;Non;192;4717
Canon;Canon  IR;;IR Advance C 350 iF;;ORIGINAL Canon 8520B002 / C-EXV 47 - Kit tambour;;;;C-EXV 47;null;8520 B 002;2119;4840
Toshiba;Toshiba  E-Studio;;E-Studio 810;;ORIGINAL Toshiba 6LA23011000 / D-6510 E - Développeur;;;;D-6510 E;null;6LA23011000;14670;5604
Samsung;Samsung  CLP;;CLP-550 Series;;COMPATIBLE Samsung CLP500D7KELS - Toner noir;;;;CLP 500 D7K/ELS;null;7000;11832;5478
Brother;Brother  MFC;;MFC-9970 CDW;;COMPATIBLE Brother TN325BK/ TN328BK - Toner noir;;;;TN-325 BK;null;6000;193;4729
Canon;Canon  IR;;IR 400 S;;ORIGINAL Canon 1389A003 - Toner noir;;;;1389 A 003;null;21200;2120;4841
Xerox;Xerox  WC;;WC 7345 RX;;ORIGINAL Xerox 006R01175 - Toner noir;;;;006 R 01175;null;26000;15860;5839
Toshiba;Toshiba  DP;;DP 1500 Series;;ORIGINAL Toshiba 66089274 / OS 1570 E - Photoconducteur;;;;OS 1570 E;null;66089274;14671;5651
Canon;Canon  Pixma;;Pixma G 2510;;ORIGINAL Canon 1603C001 / GI-590 BK - Cartouche d'encre noire;;;;GI-590 BK;null;1603 C 001;2121;4837
Brother;Brother  MFC;;MFC-9142 CDN;;COMPATIBLE Brother TN242BK - Toner noir;;;;TN-242 BK;null;2500;194;4726
Canon;Canon  i-SENSYS;;i-SENSYS LBP-6000 b;;COMPATIBLE Canon 3484B002 / 725 - Toner noir;;;;725;null;3484 B 002;2122;4842
Panasonic;Panasonic  KX-FP;;KX-FP 150;;ORIGINAL Panasonic KXFA55X - Rouleau transfert thermique;;;;KX-FA 55 X;null;140;8914;5228
Star Micronics;Star Micronics  SP;;SP 300;;ORIGINAL Star Micronics 80981611 / RC300B - Ruban nylon noir;;;;RC300B;null;80981611;14292;5535
Citizen;Citizen  Swift;;Swift 124 D;;ORIGINAL Citizen 3000017 - Ruban nylon noir;;;;3000017;null;Oui;6424;4680
Canon;Canon  Pixma;;Pixma TS 8150;;PROMO PARK de 6 COMPATIBLES Canon PGI-580XXL+ 581 XXL (Bk+C+M+Y+PB);;;;580XXL/ 581XXL;null;580-581;2123;4843
Xerox;Xerox  WC;;WC 7400 Series;;ORIGINAL Xerox 006R01395 - Toner noir;;;;006 R 01395;null;25000;15861;5845
Casio;Casio  FR;;FR 110;;ORIGINAL Olivetti 81129 - Rouleau couleur;;;;81129;null;Oui;6192;4873
Xerox;Xerox  Phaser;;Phaser 4622 DNM;;COMPATIBLE Xerox 106R01535 - Toner noir;;;;106 R 01535;null;30000;15862;5846
Sanyo;Sanyo  CY;;CY 2200 P;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;12805;4684
Panasonic;Panasonic  Panafax;;Panafax UF-770;;COMPATIBLE Panasonic UG3313 - Toner noir;;;;UG-3313;null;10000;8915;4699
Xerox;Xerox  WorkCentre;;WorkCentre 5225 V FNE;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;15863;5841
Canon;Canon  IR-C;;IR-C 1225 iF;;ORIGINAL Canon 9454B001 / 034 - Toner noir;;;;34;null;9454 B 001;2124;4844
Pitney Bowes;Pitney Bowes  W;;W 991;;COMPATIBLE HP 51645AE / 45 - Tête d'impression noire;;;;45;null;51645 AE;9749;4712
OKI;OKI  ES;;ES 8473 dnv MFP;;ORIGINAL OKI 45862822 - Toner noir;;;;45862822;null;15000;6792;5068
Sharp;Sharp  CS;;CS 2604;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13132;4684
Sharp;Sharp  AL;;AL-2051;;ORIGINAL Sharp AL214TD - Toner noir;;;;AL-214 TD;null;4000;13133;5566
Triumph-Adler;Triumph-Adler  CMS;;CMS 440 E;;ORIGINAL Epson C43S015358 / ERC-22-B - Ruban nylon noir;;;;ERC-22-B;null;C 43 S0 15358;15101;5016
Sharp;Sharp  AR;;AR-122 E;;ORIGINAL Sharp AR168LT - Toner noir;;;;AR-168 LT;null;8000;13134;5567
OKI;OKI  C;;C 9500 DN Heavystock;;COMPATIBLE OKI 41963608 - Toner noir;;;;41963608;null;15000;6793;5065
C.Itoh;C.Itoh  CI;;CI 1000 E;;ORIGINAL IBM 1040998 - Ruban nylon noir;;;;1040998;null;Oui;2018;4682
Canon;Canon  IR-C;;IR-C 7270;;ORIGINAL Canon 6942B002 / C-EXV 45 - Toner noir;;;;C-EXV 45;null;6942 B 002;2125;4845
Brother;Brother  DCP;;DCP-8060 DN;;COMPATIBLE Brother TN3170 - Toner noir;;;;TN-3170;null;7000;195;4730
Canon;Canon  Maxify;;Maxify MB 5100 Series;;COMPATIBLE Canon 9254B001 / PGI-2500 XLBK - Cartouche d'encre noire;;;;PGI-2500 XLBK;null;9254 B 001;2126;4846
Sharp;Sharp  AR;;AR-270 Series;;ORIGINAL Sharp AR270LT - Toner noir;;;;AR-270 LT;null;25000;13135;5568
Canon;Canon  Color imageCLASS;;Color ImageClass MF 8100 Series;;COMPATIBLE Canon 7433A003 / EP-87 BK - Toner noir;;;;EP-87 BK;null;7433 A 003;2127;4826
Rex Rotary;Rex Rotary  Docustation;;Docustation 2970;;ORIGINAL Ricoh 888002 / TYPE 15 - Développeur;;;;TYPE 15;null;888002;9981;5285
Utax;Utax  CD;;CD 1035;;ORIGINAL Utax 612510010 - Toner noir;;;;612 510 010;null;34000;15427;5727
Ricoh;Ricoh  Aficio;;Aficio 150;;ORIGINAL Ricoh 410303 / TYPE 185 - Toner noir;;;;TYPE 185;null;410303;10156;5320
Canon;Canon  IR;;IR Advance 8205 Pro;;ORIGINAL Canon 3764B002 / C-EXV 35 - Toner noir;;;;C-EXV 35;null;3764 B 002;2128;4847
Sharp;Sharp  FO;;FO-775 L;;ORIGINAL Sharp UX3CR - Film transfert thermique;;;;UX-3 CR;null;190;13136;5565
Xerox;Xerox  WorkCentre;;WorkCentre 7435 F;;ORIGINAL Xerox 006R01395 - Toner noir;;;;006 R 01395;null;25000;15864;5845
Panasonic;Panasonic  Workio DP;;Workio DP 1820 P;;ORIGINAL Panasonic DQTU10J - Toner noir;;;;DQ-TU 10 J;null;10000;8916;5229
Canon;Canon  MP;;MP 1000;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;2129;4684
Samsung;Samsung  SCX;;SCX-3405;;COMPATIBLE Samsung MLTD101SELS / 101 - Toner noir;;;;101;null;MLT-D 101 S/ELS;11833;5479
Xerox;Xerox  WorkCentre;;WorkCentre 3655 SM;;ORIGINAL Xerox 106R02740 - Toner noir;;;;106 R 02740;null;25900;15865;5847
Brother;Brother  HL-L;;HL-L 5100 DNT;;COMPATIBLE Brother DR3400 - Kit tambour;;;;DR-3400;null;50000;196;4731
Ricoh;Ricoh  Aficio MP C;;Aficio MP C 400 sr;;ORIGINAL Ricoh M0262015 - Kit tambour;;;;M026-2015;null;60000;10157;5321
Ricoh;Ricoh  Pro;;Pro 8120;;null;;;;null;null;null;10158;#N/A
Brother;Brother  MFC;;MFC-425 CN;;PACK de 5 COMPATIBLES Brother LC900;;;;LC-900 VAL BPDR;null;Non;197;4732
OKI;OKI  Microline;;Microline 5521;;null;;;;null;null;null;6794;#N/A
Canon;Canon  Pixma;;Pixma MG 3550 white;;COMPATIBLE Canon 5226B005 / CL-541 XL - Tête d'impression couleur;;;;CL-541 XL;null;5226 B 005;2130;4848
Adler-Royal;Adler-Royal  RC;;RC 1500 D;;ORIGINAL Kyocera 37092010 - Toner noir;;;;37092010;null;4200;13;4683
Sharp;Sharp  CS;;CS 2186;;null;;;;null;null;null;13137;#N/A
Philips;Philips  Faxjet;;Faxjet 525;;null;;;;null;null;null;9528;#N/A
Canon;Canon  i-SENSYS;;i-SENSYS MF 419 dw;;COMPATIBLE Canon 3479B002 / 719 - Toner noir;;;;719;null;3479 B 002;2131;4810
Casio;Casio  R;;R 1201;;ORIGINAL Epson C43S015425 / ERC-02-II-BR - Ruban nylon noir-rouge;;;;ERC-02-II-BR;null;C 43 S0 15425;6193;4788
Rex Rotary;Rex Rotary  C;;C 7417 N;;null;;;;null;null;null;9982;#N/A
Sharp;Sharp  CS;;CS 523;;null;;;;null;null;null;13138;#N/A
Xerox;Xerox  WorkCentre PRO;;WorkCentre Pro C 2128;;ORIGINAL Xerox 006R01175 - Toner noir;;;;006 R 01175;null;26000;15866;5839
Xerox;Xerox  WorkCentre;;WorkCentre 7435 R;;ORIGINAL Xerox 006R01395 - Toner noir;;;;006 R 01395;null;25000;15867;5845
Ricoh;Ricoh  Aficio MP;;Aficio MP 5001 sp;;ORIGINAL Ricoh B2969640 / TYPE 4500 - Développeur;;;;TYPE 4500;null;B2969640;10159;5305
Samsung;Samsung  CLX;;CLX-3170 FN;;COMPATIBLE Samsung CLTR409SEE / R409 - Kit tambour;;;;R409;null;CLT-R 409/SEE;11834;5480
Samsung;Samsung  SCX;;SCX-4216 F;;COMPATIBLE Samsung SCX4216D3ELS - Toner noir;;;;SCX-4216 D3/ELS;null;3000;11835;5481
Amstrad;Amstrad  DMP;;DMP 5000;;ORIGINAL Epson C13S015022 / 7754 - Ruban nylon noir;;;;7754;null;C 13 S0 15022;119;4703
Utax;Utax  CDC;;CDC 1965;;ORIGINAL Utax 656510010 - Toner noir;;;;656 510 010;null;70000;15428;5774
Compuprint;Compuprint  Pagemaster;;Pagemaster 1600 C;;ORIGINAL Brother TN11BK - Toner noir;;;;TN-11 BK;null;8500;6650;4789
Xerox;Xerox  Phaser;;Phaser 6250 N;;COMPATIBLE Xerox 106R00675 - Toner noir;;;;106 R 00675;null;8000;15868;5848
Utax;Utax  P;;P-3521 MFP;;null;;;;null;null;null;15429;#N/A
Canon;Canon  Satera;;Satera MF 4870 dn;;COMPATIBLE Canon 3500B002 / 728 - Toner noir;;;;728;null;3500 B 002;2132;4806
Utax;Utax  CD;;CD 15;;null;;;;null;null;null;15430;#N/A
Panasonic;Panasonic  KX-R;;KX-R 198;;ORIGINAL Brother 1032 - Ruban nylon noir;;;;1032;7,70 €;Oui;8917;4733
Brother;Brother  WP;;WP 2800 Q;;ORIGINAL Brother 1032 - Ruban nylon noir;;;;1032;7,70 €;Oui;198;4733
Casio;Casio  R;;R 320;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;6194;4684
Triumph-Adler;Triumph-Adler  DC;;DC 2050;;ORIGINAL Utax 612510010 - Toner noir;;;;612 510 010;null;34000;15102;5727
Canon;Canon  Color imageCLASS;;Color ImageClass MF 8080 cw;;COMPATIBLE Canon 1980B002 / 716BK - Toner noir;;;;716BK;null;1980 B 002;2133;4803
Xerox;Xerox  WC;;WC 7232 FPE;;ORIGINAL Xerox 013R00636 - Kit tambour;;;;013 R 00636;null;80000;15869;5844
Ricoh;Ricoh  Sp;;SP 8400 DTE;;ORIGINAL Ricoh 821277 / SP8400E - Toner noir;;;;SP8400E;null;821277;10160;5322
OKI;OKI  Okifax;;Okifax 170;;ORIGINAL OKI 01290801 - Toner noir;;;;1290801;null;2000;6795;5069
Canon;Canon  IR;;IR-ADV C 475 Series;;ORIGINAL Canon 2980C001 / T04BK - Toner noir;;;;T04BK;null;2980 C 001;2134;4849
Brother;Brother  P-Touch;;P-Touch E 550 W VP;;COMPATIBLE Brother TZE243 - P-Touch Ruban;;;;TZE-243;null;Non;199;4720
Panasonic;Panasonic  Panafax;;Panafax UF-889;;COMPATIBLE Panasonic UG3313 - Toner noir;;;;UG-3313;null;10000;8918;4699
Ricoh;Ricoh  VT;;VT 3800;;Cartouche Ricoh VT 1000 Noir (817140)(893933);;;;VT-1000;null;817140;10161;5323
Canon;Canon  Multipass;;Multipass MP 730;;COMPATIBLE Canon 4479A002 / BCI-3 EBK - Cartouche d'encre noire;;;;BCI-3 EBK;null;4479 A 002;2135;4821
Samsung;Samsung  ML;;ML-2551 NP;;COMPATIBLE Samsung ML2550DAELS - Toner noir;;;;ML-2550 DA/ELS;null;10000;11836;5482
Brother;Brother  HL-L;;HL-L 6250 DN;;COMPATIBLE Brother DR3400 - Kit tambour;;;;DR-3400;null;50000;200;4731
Sagem;Sagem  Fax;;Fax 720;;ORIGINAL Sagem CTR33 / 906115311511 - Toner noir;;;;9,06E+11;null;CTR33;11661;#N/A
Seiko Precision;Seiko Precision  IR;;IR 40 T;;null;;;;null;null;null;13071;#N/A
Canon;Canon  i-SENSYS;;i-SENSYS MF 4750;;COMPATIBLE Canon 3500B002 / 728 - Toner noir;;;;728;null;3500 B 002;2136;4806
OKI;OKI  ES;;ES 8461 DN plus;;ORIGINAL OKI 44059260 - Toner noir;;;;44059260;null;9000;6796;5061
Xerox;Xerox  WC;;WC 5222 KTL;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;15870;5841
Ricoh;Ricoh  Pro;;Pro C 7200 sX;;ORIGINAL Ricoh 828532 - Toner noir;;;;828532;null;45000;10162;5324
Brother;Brother  HL;;HL-1260 E PN;;COMPATIBLE HP 92298X / 98X - Toner noir;;;;98X;null;92298 X;201;4705
Sharp;Sharp  MX;;MX-C 381;;ORIGINAL Sharp MXC38GRS - Kit tambour;;;;MXC-38 GRS;null;30000;13139;5569
Brother;Brother  AX;;AX-500;;ORIGINAL Brother 1032 - Ruban nylon noir;;;;1032;7,70 €;Oui;202;4733
Xerox;Xerox  VersaLink;;VersaLink B 615 XL;;COMPATIBLE Xerox 106R03942 - Toner noir;;;;106 R 03942;null;25900;15871;5837
OKI;OKI  MB;;MB 451 dn;;COMPATIBLE OKI 44992402 - Toner noir;;;;44992402;null;2500;6797;5070
Canon;Canon  LBP;;LBP-2710;;COMPATIBLE HP C9730A / 645A - Toner noir;;;;645A;null;C 9730 A;2137;4850
Canon;Canon  Pixma;;Pixma MG 4170;;Pack de 5 GENERIQUES CANON PGI-525+526BKCMY;;;;PGI-525+CLI-526 BKCMY;null;4540 B 006;2138;4851
Toshiba;Toshiba  E-Studio;;E-Studio 120;;ORIGINAL Toshiba 6B00000085 / T-1200 E - Toner noir;;;;T-1200 E;null;6B00000085;14672;5652
Canon;Canon  IR-C;;IR-C 475 iF III;;ORIGINAL Canon 2980C001 / T04BK - Toner noir;;;;T04BK;null;2980 C 001;2139;4849
Canon;Canon  Lasershot;;Lasershot LBP-3200;;COMPATIBLE Canon 8489A002 / EP-27 - Toner noir;;;;EP-27;null;8489 A 002;2140;4852
Panasonic;Panasonic  UF;;UF 758;;COMPATIBLE Panasonic UG3204 - Toner noir;;;;UG-3204;null;8000;8919;4701
Sanyo;Sanyo  Serd;;Serd ECR 160;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;12806;4684
Sanyo;Sanyo  SFT Z;;SFT Z 98;;ORIGINAL Kyocera 37077010 - Toner noir;;;;37077010;null;7000;12807;4694
Brother;Brother  HL;;HL-2170 WR;;COMPATIBLE Brother DR2100 - Kit tambour;;;;DR-2100;null;12000;203;4734
Olivetti;Olivetti  OFX;;OFX 540;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;7696;4691
Brother;Brother  MFC;;MFC-8240;;COMPATIBLE Brother TN3060 - Toner noir;;;;TN-3060;null;6700;204;4718
Xerox;Xerox  WC;;WC 7755;;ORIGINAL Xerox 013R00603 - Kit tambour;;;;013 R 00603;null;200000;15872;5849
Olivetti;Olivetti  Copia;;Copia 9915 F;;ORIGINAL Olivetti B0266 - Kit tambour;;;;B0266;null;18000;7697;5158
Sindoh;Sindoh  LP;;LP 430;;COMPATIBLE Lexmark 34080HE - Toner noir;;;;34080HE;null;6000;14269;5625
Toshiba;Toshiba  E-Studio;;E-Studio 850;;ORIGINAL Toshiba 6LA23011000 / D-6510 E - Développeur;;;;D-6510 E;null;6LA23011000;14673;5604
Sharp;Sharp  ER;;ER 3575;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13140;4684
Brother;Brother  MFC;;MFC-8440 N;;COMPATIBLE Brother TN3060 - Toner noir;;;;TN-3060;null;6700;205;4718
OKI;OKI  MC;;MC 760 dnvfax;;COMPATIBLE OKI 45396304 - Toner noir;;;;45396304;null;8000;6798;5067
Canon;Canon  IR;;IR 4570 e;;COMPATIBLE Canon 9634A002 / C-EXV 12 - Toner noir;;;;C-EXV 12;null;9634 A 002;2141;4853
Xerox;Xerox  Phaser;;Phaser 3635 MFP V X;;COMPATIBLE Xerox 108R00795 - Toner noir;;;;108 R 00795;null;10000;15873;5850
Samsung;Samsung  FX;;FX 4100 Series;;COMPATIBLE Lexmark 13400HCE - Tête d'impression noire;;;;13400HCE;null;Non;11837;4696
Xerox;Xerox  WorkCentre PRO;;WorkCentre Pro 165;;ORIGINAL Xerox 006R01146 - Toner noir;;;;006 R 01146;null;50000;15874;5829
Ricoh;Ricoh  Aficio SP;;Aficio SP 3410 sf;;COMPATIBLE Ricoh 406522 / SP 3400 HA - Toner noir;;;;SP 3400 HA;null;406522;10163;5325
Samsung;Samsung  CLX;;CLX-3185 FN;;COMPATIBLE Samsung CLTP4072CELS / P4072C - Toner MultiPack;;;;P4072C;null;CLT-P 4072 C/ELS;11838;5483
